,0 ≤ Category < 1
data,1.0
hh4b,0.05
hh4b-kl2p45,0.04
hh4b-kl5,0.03
vbfhh4b,0.0
vbfhh4b-k2v0,3.43
vbfhh4b-kv1p74-k2v1p37-kl14p4,4.81
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,4.79
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,0.6
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.04
vbfhh4b-kvm1p83-k2v3p57-klm3p39,0.17
vbfhh4b-kvm2p12-k2v3p87-klm5p96,4.72
ttbar,0.62
gghtobb,0.05
vbfhtobb,0.01
vhtobb,0.17
novhhtobb,0.06
tthtobb,0.06
zz,0.1
nozzdiboson,0.0
vjets,0.13
