,0 ≤ Category < 1,0 ≤ Category_JMS_down < 1
data,10.0,
hh4b,,0.11
hh4b-kl2p45,,0.09
hh4b-kl5,,0.07
vbfhh4b,,0.01
vbfhh4b-k2v0,,6.63
vbfhh4b-kv1p74-k2v1p37-kl14p4,,9.16
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,9.39
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.01
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,1.16
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.08
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.33
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,8.96
ttbar,1.44,
gghtobb,0.09,
vbfhtobb,0.03,
vhtobb,,0.32
novhhtobb,0.09,
tthtobb,0.12,
zz,,0.17
nozzdiboson,,0.0
vjets,-0.02,
