,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
data,9000437.0,7488932.0,946276.0,653979.0,1.0,9.0,6.0,1.0,0.0,59.0,19.0,584.0,186.0
ttbar,167556.6861,152860.8374,70584.6927,58542.4311,0.3873,2.4062,1.4206,0.3315,0.0,7.1475,3.0954,164.6428,58.9771
gghtobb,1335.4851,1192.3402,281.6346,271.35,0.0352,0.1336,0.1301,0.0439,0.0,0.3406,0.1197,0.5238,0.2826
vbfhtobb,343.6791,313.2473,37.8622,35.1569,0.0,0.0,0.0,0.0,0.0,0.0289,0.0,0.0132,0.0132
vhtobb,299.9129,287.2014,175.0279,171.3076,0.1788,0.5933,1.4915,0.2633,0.0035,1.8245,0.5823,4.4929,3.1539
novhhtobb,1679.1641,1606.8135,341.7983,328.7928,0.0423,0.1613,0.1577,0.054,0.0,0.4331,0.1397,0.5821,0.3214
tthtobb,371.9549,353.3404,186.0826,168.8422,0.1046,0.1693,0.1672,0.059,0.0,0.5506,0.221,1.0762,0.4806
zz,485.6489,462.7929,156.1081,138.27,0.0,0.1296,0.1575,0.0559,0.0,0.8194,0.0,5.2525,0.1996
nozzdiboson,1521.1902,1376.6872,462.0375,353.7633,0.0,0.0,0.0,0.0,0.0,0.0413,0.0,0.7025,0.2565
vjets,155344.9196,131482.8653,20717.329,16031.3497,-0.0033,1.2711,0.5324,0.3776,0.0,1.982,0.9618,22.1464,5.5296
hh4b,9.6578,9.8925,4.5268,4.5021,0.1492,0.1871,0.5137,0.4444,0.0003,0.5351,0.4355,0.352,0.2858
hh4b-kl0,13.5833,12.6416,5.3912,5.3524,0.1593,0.1982,0.4616,0.3957,0.0,0.6096,0.4959,0.3969,0.3275
hh4b-kl2p45,7.338,7.5224,3.4716,3.4347,0.1291,0.1568,0.4018,0.3535,0.0001,0.4025,0.3324,0.2706,0.2213
hh4b-kl5,11.9658,11.604,3.9318,3.7822,0.103,0.1241,0.3012,0.2582,0.0,0.3012,0.2416,0.21,0.166
vbfhh4b,0.271,0.2752,0.0882,0.0855,0.0101,0.0125,0.01,0.0087,0.0,0.004,0.0033,0.0049,0.004
vbfhh4b-k2v0,60.7865,68.5593,44.5523,44.2611,9.7061,11.8461,9.9301,8.5536,0.0317,1.4611,1.1955,2.2922,1.8701
vbfhh4b-kv1p74-k2v1p37-kl14p4,108.5689,114.8267,60.0044,58.2649,12.748,15.9273,13.1579,11.2091,0.064,1.0299,0.8433,2.2778,1.9266
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0347,0.0396,0.0275,0.0273,0.0064,0.0078,0.0064,0.0056,0.0,0.0007,0.0006,0.0013,0.0011
vbfhh4b-kvm0p758-k2v1p44-klm19p3,147.9301,157.8709,78.9107,77.6912,13.9583,17.07,15.803,13.7017,0.0596,3.5584,2.8157,3.9952,3.387
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.2666,0.2669,0.0827,0.0786,0.0084,0.0102,0.0126,0.0105,0.0,0.0025,0.002,0.0029,0.0022
vbfhh4b-kvm1p21-k2v1p94-klm0p94,9.9869,11.3487,7.6396,7.5876,1.7036,2.0707,1.8037,1.5468,0.0056,0.2294,0.1844,0.3528,0.29
vbfhh4b-kvm1p6-k2v2p72-klm1p36,1.6355,1.7015,0.6961,0.6833,0.1048,0.1322,0.1183,0.1029,0.0006,0.0194,0.0157,0.0294,0.0241
vbfhh4b-kvm1p83-k2v3p57-klm3p39,7.2798,7.5216,3.092,3.0016,0.4794,0.5884,0.5589,0.4772,0.0012,0.1117,0.0922,0.1245,0.1048
vbfhh4b-kvm2p12-k2v3p87-klm5p96,166.0322,175.5855,80.676,79.4928,13.6335,16.6828,13.8508,11.9349,0.0291,3.7724,3.1676,4.5377,3.7704
diboson,2006.8391,1753.7326,587.9161,459.5446,0.0,0.0992,0.1135,0.0304,0.0,0.5452,0.0,5.0882,0.2071
