,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
data,5105637.0,4009894.0,537642.0,373213.0,1.0,10.0,4.0,2.0,0.0,29.0,8.0,332.0,113.0
ttbar,115923.8591,89055.2474,44215.2986,36390.4127,0.2167,1.3011,0.4678,0.3114,0.0,4.8808,1.5993,108.1504,35.841
gghtobb,911.3498,738.9532,177.3146,171.3205,0.0304,0.088,0.0828,0.0312,0.0,0.2494,0.0943,0.4346,0.2062
vbfhtobb,239.5226,201.7741,23.5941,22.2907,0.0062,0.0265,0.0254,0.0,0.0,0.0,0.0,0.0049,0.0049
vhtobb,197.2055,161.7995,96.167,93.9945,0.0572,0.3293,0.7284,0.0864,0.0011,0.8838,0.1954,2.7265,1.7619
novhhtobb,911.3498,731.3205,175.3613,169.375,0.0303,0.0884,0.0828,0.031,0.0,0.2457,0.0925,0.4223,0.2008
tthtobb,258.0854,215.4139,117.7373,106.4109,0.0266,0.1247,0.1032,0.0305,0.0,0.3922,0.1487,0.7685,0.3337
zz,340.95,277.6654,88.4368,75.3429,0.0,0.1408,0.2032,0.0,0.0,0.2783,0.0,3.5119,0.6098
nozzdiboson,997.1274,769.6095,263.8101,193.2823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1889,0.0
vjets,102275.8524,71245.0822,11646.7592,8845.1505,0.0199,-0.0234,-0.25,-0.0709,0.0,0.1473,-0.2572,16.0224,2.6188
hh4b,6.6219,5.6642,2.6264,2.6118,0.0849,0.1103,0.2676,0.2216,0.0,0.303,0.2387,0.2278,0.1756
hh4b-kl0,9.2941,7.9975,3.559,3.5389,0.1025,0.1294,0.335,0.2828,0.0,0.454,0.3623,0.277,0.2283
hh4b-kl2p45,4.962,4.3337,1.9935,1.9718,0.0739,0.0918,0.2048,0.1652,0.0,0.2285,0.1776,0.1616,0.1241
hh4b-kl5,8.2529,7.0608,2.3123,2.2166,0.0545,0.0718,0.1547,0.1266,0.0001,0.1782,0.1415,0.1289,0.0986
vbfhh4b,0.1894,0.1648,0.0519,0.0502,0.0055,0.0073,0.005,0.004,0.0,0.0024,0.0018,0.0034,0.0025
vbfhh4b-k2v0,41.2608,38.7761,24.7593,24.5413,5.0013,6.6152,4.8716,3.9639,0.0227,0.7846,0.5888,1.4239,1.0646
vbfhh4b-kv1p74-k2v1p37-kl14p4,74.9031,67.9819,33.6249,32.5092,6.8707,9.132,6.2526,5.035,0.0372,0.4806,0.3719,1.5064,1.1162
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0236,0.0224,0.0153,0.0151,0.0033,0.0043,0.0032,0.0026,0.0,0.0004,0.0003,0.0008,0.0006
vbfhh4b-kvm0p758-k2v1p44-klm19p3,101.0139,91.2849,43.4298,42.6499,7.0935,9.4083,7.3385,6.0019,0.0318,1.866,1.3956,2.5982,1.9541
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.1859,0.1622,0.0477,0.045,0.0045,0.0061,0.0055,0.0044,0.0,0.0015,0.0011,0.0018,0.0013
vbfhh4b-kvm1p21-k2v1p94-klm0p94,6.777,6.4146,4.2363,4.1979,0.876,1.1608,0.8721,0.7074,0.0042,0.1214,0.0917,0.2196,0.1643
vbfhh4b-kvm1p6-k2v2p72-klm1p36,1.1095,0.9859,0.3862,0.3771,0.0577,0.0759,0.0615,0.0496,0.0003,0.0112,0.0084,0.0157,0.0116
vbfhh4b-kvm1p83-k2v3p57-klm3p39,5.0184,4.4769,1.7544,1.6913,0.2459,0.3307,0.2768,0.2242,0.0013,0.0616,0.0454,0.0759,0.0568
vbfhh4b-kvm2p12-k2v3p87-klm5p96,112.1851,99.8922,44.466,43.7093,6.7814,9.0085,6.987,5.6436,0.0193,2.2011,1.6501,2.7746,2.0641
diboson,1338.0774,1054.0168,362.5663,279.5997,0.0,0.155,0.1584,0.0,0.0,0.3769,0.0144,3.7874,0.6235
