,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
data,19193848.0000,15238259.0000,2018184.0000,1397562.0000,3.0000,23.0000,17.0000,4.0000,0.0000,135.0000,44.0000,1285.0000,408.0000
hh4b,22.4152,21.1097,9.7420,9.6913,0.3171,0.4017,1.0631,0.9040,0.0004,1.1439,0.9174,0.7908,0.6311
hh4b-kl2p45,16.9479,16.0985,7.4310,7.3506,0.2667,0.3308,0.8256,0.7079,0.0001,0.8645,0.6951,0.5914,0.4715
hh4b-kl5,27.8383,25.2393,8.5061,8.1754,0.2083,0.2619,0.6253,0.5315,0.0001,0.6542,0.5211,0.4680,0.3681
vbfhh4b,0.6365,0.5986,0.1919,0.1859,0.0211,0.0269,0.0203,0.0172,0.0000,0.0088,0.0070,0.0116,0.0091
vbfhh4b-k2v0,140.8211,145.9750,94.2286,93.5274,19.9127,25.0650,20.0307,16.8909,0.0762,3.0485,2.4189,5.0626,3.9948
vbfhh4b-kv1p74-k2v1p37-kl14p4,253.8606,248.4882,127.4335,123.5009,26.9379,34.3062,26.1059,21.9369,0.1279,2.0360,1.6033,5.2016,4.1639
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0804,0.0843,0.0581,0.0576,0.0131,0.0164,0.0130,0.0111,0.0000,0.0015,0.0012,0.0029,0.0023
vbfhh4b-kvm0p758-k2v1p44-klm19p3,343.3360,338.1812,165.7647,163.1227,28.5363,35.8686,31.2158,26.4914,0.1108,7.2992,5.6886,8.9749,7.1980
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.6283,0.5850,0.1782,0.1690,0.0175,0.0222,0.0238,0.0197,0.0000,0.0058,0.0046,0.0063,0.0047
vbfhh4b-kvm1p21-k2v1p94-klm0p94,23.1315,24.1427,16.1302,16.0073,3.4942,4.3861,3.6068,3.0334,0.0143,0.4759,0.3744,0.7788,0.6183
vbfhh4b-kvm1p6-k2v2p72-klm1p36,3.8060,3.6629,1.4828,1.4499,0.2257,0.2862,0.2479,0.2109,0.0012,0.0423,0.0330,0.0597,0.0466
vbfhh4b-kvm1p83-k2v3p57-klm3p39,17.0411,16.3443,6.5806,6.3686,0.9773,1.2472,1.1387,0.9527,0.0043,0.2370,0.1894,0.2716,0.2168
vbfhh4b-kvm2p12-k2v3p87-klm5p96,384.0514,374.0319,169.7913,167.1037,27.5959,34.7867,28.0838,23.7026,0.0785,8.3164,6.6315,10.2531,8.0378
ttbar,389317.1940,325388.5316,155086.8962,128184.0903,0.9459,4.8951,2.3602,0.7999,0.0000,15.9353,6.2860,371.1272,127.7954
gghtobb,3101.7625,2628.7629,626.3334,604.2157,0.1126,0.3108,0.2987,0.1026,0.0000,0.7686,0.2613,1.2467,0.6190
vbfhtobb,807.5361,703.5218,84.6600,79.4070,0.0064,0.0391,0.0307,0.0000,0.0000,0.0289,0.0000,0.0389,0.0302
vhtobb,682.2498,606.0062,372.0697,364.0803,0.3281,1.2433,3.0193,0.4846,0.0064,3.6582,1.0251,9.8698,6.6761
novhhtobb,3552.1027,3147.4552,700.2685,674.8108,0.1226,0.3543,0.3337,0.1141,0.0000,0.8716,0.2828,1.2997,0.6557
tthtobb,861.7593,764.5933,410.2225,371.8439,0.1637,0.4051,0.3522,0.1122,0.0000,1.2518,0.4762,2.5286,1.1118
zz,1164.2228,1043.6682,348.5261,305.3090,0.0000,0.3595,0.4263,0.0661,0.0000,1.5808,0.0000,13.1179,0.9566
nozzdiboson,3469.1896,2886.7591,980.9220,736.8514,0.0000,0.0611,0.0000,0.0000,0.0000,0.0413,0.0000,1.4432,0.2565
vjets,355443.0870,273039.4804,43909.4005,33740.5464,0.2175,1.7826,0.4156,0.4083,0.0000,2.1559,0.7059,49.7211,10.3086
B ABCD,,,,,0.8976,,,4.594,,,,,
S/B ABCD,,,,,,,,0.194,,,,,
