,4 ≤ Category < 5,4 ≤ Category_JES_down < 5
data,206063.0,
hh4b,,0.85
hh4b-kl0,,1.12
hh4b-kl2p45,,0.63
hh4b-kl5,,0.84
vbfhh4b,,0.02
vbfhh4b-k2v0,,5.47
vbfhh4b-kv1p74-k2v1p37-kl14p4,,7.47
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,10.33
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.02
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.96
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.12
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.46
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,11.45
ttbar,,17788.26
gghtobb,,80.86
vbfhtobb,,10.68
vhtobb,,49.45
novhhtobb,,96.21
tthtobb,,50.46
zz,,40.33
nozzdiboson,,102.39
vjets,,4835.95
