,4 ≤ Category < 5,4 ≤ Category_JES_up < 5
data,206063.0,
hh4b,,0.85
hh4b-kl0,,1.12
hh4b-kl2p45,,0.63
hh4b-kl5,,0.84
vbfhh4b,,0.02
vbfhh4b-k2v0,,5.45
vbfhh4b-kv1p74-k2v1p37-kl14p4,,7.46
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,10.29
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.02
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.95
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.12
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.46
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,11.42
ttbar,,17738.96
gghtobb,,80.83
vbfhtobb,,10.7
vhtobb,,49.43
novhhtobb,,96.2
tthtobb,,50.45
zz,,40.42
nozzdiboson,,102.14
vjets,,4813.61
