,4 ≤ Category < 5
data,653365.0
hh4b,2.82
hh4b-kl0,3.82
hh4b-kl2p45,2.14
hh4b-kl5,2.76
vbfhh4b,0.05
vbfhh4b-k2v0,18.7
vbfhh4b-kv1p74-k2v1p37-kl14p4,25.56
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,35.94
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.05
vbfhh4b-kvm1p21-k2v1p94-klm0p94,3.25
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.39
vbfhh4b-kvm1p83-k2v3p57-klm3p39,1.62
vbfhh4b-kvm2p12-k2v3p87-klm5p96,40.33
ttbar,58247.52
gghtobb,268.34
vbfhtobb,35.51
vhtobb,160.69
novhhtobb,325.9
tthtobb,164.4
zz,132.98
nozzdiboson,350.13
vjets,16073.5
