,4 ≤ Category < 5,4 ≤ Category_JES_up < 5
data,653365.0,
hh4b,,2.82
hh4b-kl0,,3.82
hh4b-kl2p45,,2.14
hh4b-kl5,,2.76
vbfhh4b,,0.05
vbfhh4b-k2v0,,18.68
vbfhh4b-kv1p74-k2v1p37-kl14p4,,25.48
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,35.9
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.05
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,3.24
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.39
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,1.62
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,40.27
ttbar,,58159.46
gghtobb,,268.27
vbfhtobb,,35.55
vhtobb,,160.66
novhhtobb,,325.86
tthtobb,,164.23
zz,,132.62
nozzdiboson,,350.53
vjets,,16045.66
