,1 ≤ Category < 2
data,6.0
hh4b,0.5
hh4b-kl0,0.62
hh4b-kl2p45,0.4
hh4b-kl5,0.29
vbfhh4b,0.01
vbfhh4b-k2v0,9.87
vbfhh4b-kv1p74-k2v1p37-kl14p4,13.05
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,15.24
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.01
vbfhh4b-kvm1p21-k2v1p94-klm0p94,1.85
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.12
vbfhh4b-kvm1p83-k2v3p57-klm3p39,0.56
vbfhh4b-kvm2p12-k2v3p87-klm5p96,13.74
ttbar,1.52
gghtobb,0.12
vbfhtobb,0.0
vhtobb,1.46
novhhtobb,0.14
tthtobb,0.16
zz,0.16
nozzdiboson,0.0
vjets,0.36
