,4 ≤ Category < 5,4 ≤ Category_JER_down < 5
data,373492.0,
hh4b,,1.68
hh4b-kl0,,2.24
hh4b-kl2p45,,1.26
hh4b-kl5,,1.65
vbfhh4b,,0.03
vbfhh4b-k2v0,,10.96
vbfhh4b-kv1p74-k2v1p37-kl14p4,,15.18
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.01
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,20.94
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.03
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,1.92
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.22
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.96
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,22.78
ttbar,,36305.63
gghtobb,,167.3
vbfhtobb,,21.78
vhtobb,,89.39
novhhtobb,,165.4
tthtobb,,104.6
zz,,71.63
nozzdiboson,,191.43
vjets,,8634.24
