,4 ≤ Category < 5,4 ≤ Category_JES_up < 5
data,186370.0,
hh4b,,0.89
hh4b-kl0,,1.19
hh4b-kl2p45,,0.67
hh4b-kl5,,0.87
vbfhh4b,,0.02
vbfhh4b-k2v0,,5.85
vbfhh4b-kv1p74-k2v1p37-kl14p4,,8.04
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,11.08
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.02
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,1.02
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.12
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.51
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,12.05
ttbar,,17893.94
gghtobb,,87.38
vbfhtobb,,11.64
vhtobb,,48.43
novhhtobb,,86.53
tthtobb,,52.81
zz,,39.02
nozzdiboson,,93.75
vjets,,4450.24
