,1 ≤ Category < 2,1 ≤ Category_JER_down < 2
data,4.0,
hh4b,,0.15
hh4b-kl0,,0.18
hh4b-kl2p45,,0.11
hh4b-kl5,,0.09
vbfhh4b,,0.0
vbfhh4b-k2v0,,2.62
vbfhh4b-kv1p74-k2v1p37-kl14p4,,3.26
vbfhh4b-kvm0p012-k2v0p03-kl10p2,,0.0
vbfhh4b-kvm0p758-k2v1p44-klm19p3,,3.9
vbfhh4b-kvm0p962-k2v0p959-klm1p43,,0.0
vbfhh4b-kvm1p21-k2v1p94-klm0p94,,0.49
vbfhh4b-kvm1p6-k2v2p72-klm1p36,,0.03
vbfhh4b-kvm1p83-k2v3p57-klm3p39,,0.15
vbfhh4b-kvm2p12-k2v3p87-klm5p96,,3.73
ttbar,,0.39
gghtobb,,0.05
vbfhtobb,,0.01
vhtobb,,0.42
novhhtobb,,0.05
tthtobb,,0.04
zz,,0.22
nozzdiboson,,0.0
vjets,,0.01
