,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
data,18252448.0,18252448.0,946350.0,654023.0,1.0,9.0,6.0,1.0,0.0,59.0,19.0,584.0,186.0
ttbar,276513.1152,274106.6744,70357.8891,58423.2706,0.3887,2.3232,1.5186,0.4293,0.0,7.6516,3.3578,164.2421,57.6579
gghtobb,1359.6137,1380.1023,279.7453,269.4389,0.0329,0.122,0.1203,0.0399,0.0,0.3343,0.1167,0.5219,0.2743
vbfhtobb,344.0222,348.3842,38.0006,35.5516,0.0,0.0,0.0,0.0,0.0,0.0289,0.0,0.0132,0.0132
vhtobb,335.1326,361.9893,172.5425,168.9777,0.1558,0.5936,1.4661,0.2758,0.0038,1.7869,0.5673,4.4449,3.1124
novhhtobb,1703.6359,1829.8781,339.9647,327.1975,0.0396,0.147,0.1459,0.0488,0.0,0.4266,0.1363,0.5807,0.312
tthtobb,496.5129,511.6644,183.5071,166.3132,0.0946,0.155,0.1613,0.0872,0.0,0.5341,0.2239,1.0653,0.4573
zz,622.9591,697.81,154.9661,139.4227,0.0,0.1313,0.1595,0.0566,0.0,0.863,0.0,5.286,0.0
nozzdiboson,3293.1349,4001.1859,457.2574,350.8811,0.0,0.0354,0.0,0.0,0.0,0.0,0.0,0.7179,0.2597
vjets,347603.4477,426196.2869,20653.5558,16098.7722,0.0074,1.1423,0.3562,0.3824,0.0,2.934,0.6276,20.8413,5.0688
hh4b,9.5361,10.3951,4.3959,4.3735,0.1458,0.1835,0.5038,0.4348,0.0001,0.5215,0.4254,0.3445,0.2775
hh4b-kl0,13.4891,14.6463,5.8434,5.8084,0.1901,0.2319,0.6202,0.5342,0.0003,0.6988,0.5698,0.4361,0.3607
hh4b-kl2p45,7.2917,7.9191,3.3796,3.3443,0.1254,0.1524,0.4004,0.3487,0.0,0.3919,0.3234,0.262,0.2151
hh4b-kl5,12.2533,12.909,3.8204,3.6749,0.1036,0.1241,0.2953,0.2553,0.0001,0.2974,0.24,0.2003,0.1598
vbfhh4b,0.2811,0.3052,0.0885,0.0859,0.0101,0.0125,0.0101,0.0086,0.0,0.0041,0.0033,0.0049,0.0041
vbfhh4b-k2v0,61.0398,70.0315,44.5051,44.2186,9.701,11.8324,9.9533,8.5639,0.0333,1.466,1.2022,2.2765,1.8728
vbfhh4b-kv1p74-k2v1p37-kl14p4,109.3646,121.2262,59.343,57.6628,12.6149,15.6839,13.1736,11.1572,0.078,1.1035,0.8694,2.1516,1.7929
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0371,0.0429,0.0292,0.029,0.0068,0.0083,0.0068,0.0059,0.0,0.0008,0.0006,0.0014,0.0011
vbfhh4b-kvm0p758-k2v1p44-klm19p3,143.9287,160.246,76.0385,74.8927,13.4533,16.4574,15.3494,13.4473,0.061,3.2899,2.6549,3.8573,3.233
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.2834,0.3043,0.084,0.0799,0.0086,0.0106,0.0126,0.0105,0.0,0.0027,0.0021,0.0028,0.0023
vbfhh4b-kvm1p21-k2v1p94-klm0p94,10.4554,12.0447,7.9305,7.8756,1.7698,2.1588,1.87,1.6059,0.0057,0.2385,0.1917,0.3645,0.2986
vbfhh4b-kvm1p6-k2v2p72-klm1p36,1.7032,1.8718,0.7066,0.6943,0.1085,0.1363,0.121,0.1044,0.0003,0.0182,0.016,0.029,0.0236
vbfhh4b-kvm1p83-k2v3p57-klm3p39,7.607,8.2833,3.1012,3.0135,0.4752,0.5884,0.5713,0.4929,0.0006,0.1136,0.0935,0.1248,0.1049
vbfhh4b-kvm2p12-k2v3p87-klm5p96,166.8848,184.8478,80.2158,79.0999,13.4944,16.5,13.8699,12.1095,0.0276,3.8678,3.2012,4.6316,3.7998
