,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
data,9397845.0,8592969.0,538572.0,373868.0,1.0,10.0,4.0,2.0,0.0,29.0,8.0,333.0,113.0
ttbar,224499.1907,171853.0799,44264.6501,36424.2634,0.3498,1.1813,0.4746,0.3037,0.0,4.5328,1.7231,107.6736,36.3326
gghtobb,1121.2441,837.4667,174.4239,168.1696,0.0334,0.0942,0.0709,0.0252,0.0,0.2388,0.0824,0.4318,0.196
vbfhtobb,267.3418,220.662,23.1881,21.8247,0.0063,0.0269,0.0172,0.0,0.0,0.0,0.0,0.0049,0.0049
vhtobb,279.2404,209.4138,96.2207,94.0543,0.0629,0.3219,0.7358,0.0807,0.0029,0.8615,0.1832,2.7561,1.7936
novhhtobb,1121.2441,829.7311,172.4965,166.2508,0.0335,0.0947,0.071,0.025,0.0,0.2352,0.081,0.4196,0.1905
tthtobb,380.8778,324.6762,117.2739,106.012,0.0293,0.1209,0.1052,0.0364,0.0,0.3685,0.1698,0.8056,0.3382
zz,532.8119,505.2534,89.2134,75.6772,0.1124,0.1442,0.1446,0.0,0.0,0.1892,0.0,3.5376,0.4195
nozzdiboson,2887.8184,3196.8135,264.5627,192.2137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1936,0.0
vjets,330976.399,313308.3908,11503.5345,8655.3128,0.0233,-0.0244,-0.2639,-0.1969,0.0,0.2388,-0.1922,15.3085,2.6868
hh4b,7.0502,5.8787,2.5891,2.5754,0.0846,0.1098,0.2648,0.2197,0.0001,0.301,0.2378,0.2243,0.1721
hh4b-kl0,9.9231,8.1281,3.3547,3.3313,0.098,0.128,0.3263,0.2694,0.0003,0.3671,0.2836,0.2711,0.2169
hh4b-kl2p45,5.2702,4.5419,1.9641,1.9445,0.0704,0.089,0.202,0.1617,-0.0002,0.2246,0.1761,0.1644,0.1262
hh4b-kl5,9.2493,7.8619,2.2763,2.1834,0.0547,0.0713,0.1551,0.1275,0.0001,0.1748,0.1374,0.1278,0.0979
vbfhh4b,0.2114,0.1841,0.0529,0.0512,0.0057,0.0076,0.005,0.0041,0.0,0.0025,0.0019,0.0034,0.0026
vbfhh4b-k2v0,42.538,40.0826,25.0319,24.814,5.0548,6.6924,4.9375,4.0157,0.0229,0.7936,0.597,1.4412,1.0818
vbfhh4b-kv1p74-k2v1p37-kl14p4,79.5226,72.6975,33.7561,32.6341,6.9046,9.1826,6.2741,5.0571,0.0313,0.4973,0.3911,1.5014,1.0966
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0258,0.0246,0.0164,0.0163,0.0035,0.0047,0.0034,0.0028,0.0,0.0004,0.0003,0.0009,0.0007
vbfhh4b-kvm0p758-k2v1p44-klm19p3,103.2446,93.6397,42.4176,41.6795,6.9114,9.2025,7.1981,5.8862,0.03,1.8281,1.3734,2.5226,1.9038
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.2134,0.1874,0.0491,0.0463,0.0047,0.0063,0.0057,0.0046,0.0,0.0016,0.0012,0.0018,0.0014
vbfhh4b-kvm1p21-k2v1p94-klm0p94,7.2723,6.9016,4.4512,4.411,0.922,1.2213,0.9179,0.7452,0.0045,0.1278,0.0964,0.2299,0.1724
vbfhh4b-kvm1p6-k2v2p72-klm1p36,1.2369,1.1027,0.3949,0.3852,0.0585,0.0772,0.0638,0.0519,0.0003,0.0113,0.0085,0.0165,0.0124
vbfhh4b-kvm1p83-k2v3p57-klm3p39,5.5609,4.9802,1.7893,1.7263,0.2505,0.338,0.2831,0.2284,0.001,0.0623,0.0464,0.0792,0.0595
vbfhh4b-kvm2p12-k2v3p87-klm5p96,118.3525,105.6071,44.6549,43.9063,6.8913,9.1346,7.0256,5.6979,0.0208,2.1813,1.6206,2.7918,2.0911
