,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
data,4149633.0,3713150.0,268047.0,186602.0,1.0,3.0,4.0,0.0,0.0,19.0,7.0,206.0,59.0
ttbar,121260.3049,69261.6754,21756.6359,17979.2708,0.1058,0.3928,0.3943,0.1424,0.0,2.2049,1.1726,58.8223,22.9979
gghtobb,603.5026,413.7453,90.7977,87.7861,0.0219,0.047,0.0469,0.0188,0.0,0.1053,0.0323,0.1759,0.0695
vbfhtobb,141.5512,108.3739,12.3269,11.6888,0.0002,0.005,0.0054,0.0,0.0,0.0,0.0,0.0211,0.0068
vhtobb,161.3115,108.9138,52.0898,50.9875,0.0239,0.1564,0.4143,0.0507,0.0011,0.4742,0.1178,1.5049,0.9643
novhhtobb,603.5026,410.7707,89.9375,86.9384,0.0216,0.0481,0.0486,0.019,0.0,0.1062,0.0323,0.1726,0.0681
tthtobb,205.1637,142.7929,58.9704,53.526,0.0125,0.0628,0.0434,0.0168,0.0,0.1549,0.0683,0.4159,0.1928
zz,301.2636,200.9946,48.4458,41.0227,0.0,0.2105,0.0,0.0,0.0,0.4555,0.0,1.3269,0.1792
nozzdiboson,1575.4993,876.4013,130.4524,94.1984,0.0,0.0626,0.0,0.0,0.0,0.0,0.0,0.2654,0.0
vjets,179375.7653,85253.2154,5846.9276,4461.7365,0.0308,0.2741,0.007,0.0067,0.0,0.0186,0.2259,6.7739,1.2233
hh4b,3.7832,3.0455,1.3789,1.3722,0.0419,0.0549,0.147,0.1209,-0.0,0.1608,0.1237,0.12,0.0923
hh4b-kl0,5.3602,4.2287,1.7965,1.7848,0.048,0.0631,0.1842,0.1504,0.0,0.2125,0.1656,0.1351,0.1058
hh4b-kl2p45,2.8627,2.3532,1.0509,1.0405,0.0359,0.0477,0.1123,0.0915,0.0,0.118,0.0908,0.0896,0.0691
hh4b-kl5,4.9738,3.8535,1.2053,1.1586,0.0267,0.0354,0.0866,0.0726,0.0,0.0972,0.0743,0.0705,0.055
vbfhh4b,0.1126,0.0919,0.0276,0.0268,0.0028,0.0038,0.0027,0.0022,0.0,0.0013,0.001,0.0019,0.0014
vbfhh4b-k2v0,22.7716,21.0501,13.2931,13.1817,2.6536,3.5165,2.6408,2.1381,0.0128,0.426,0.321,0.7502,0.5607
vbfhh4b-kv1p74-k2v1p37-kl14p4,42.7324,36.7275,17.7406,17.1646,3.6228,4.8097,3.2953,2.6608,0.0169,0.2293,0.1667,0.7897,0.5916
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0138,0.0129,0.0087,0.0086,0.0019,0.0025,0.0018,0.0015,0.0,0.0002,0.0002,0.0005,0.0003
vbfhh4b-kvm0p758-k2v1p44-klm19p3,55.3118,48.0999,22.5436,22.1996,3.682,4.9117,3.9276,3.1978,0.0147,0.9378,0.6851,1.3401,0.9884
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.1152,0.093,0.0259,0.0246,0.0025,0.0032,0.0031,0.0025,0.0,0.001,0.0007,0.001,0.0007
vbfhh4b-kvm1p21-k2v1p94-klm0p94,3.8905,3.6136,2.36,2.3395,0.4828,0.6386,0.4905,0.396,0.0023,0.0684,0.0512,0.1221,0.0909
vbfhh4b-kvm1p6-k2v2p72-klm1p36,0.6678,0.5565,0.2115,0.2064,0.0311,0.0408,0.0341,0.028,0.0002,0.0063,0.0047,0.0089,0.0065
vbfhh4b-kvm1p83-k2v3p57-klm3p39,2.9897,2.5028,0.9379,0.9084,0.1334,0.1771,0.1491,0.1219,0.0006,0.0323,0.0245,0.0425,0.0315
vbfhh4b-kvm2p12-k2v3p87-klm5p96,64.022,54.9088,23.7388,23.3569,3.7022,4.8803,3.7648,3.0104,0.0098,1.1724,0.8822,1.4715,1.1051
