,Skimmer Preselection,HLT,H1Msd > 40 & H2Pt > 250.0 & H1Pt > 300.0,BDT > min,Bin VBF [110-155],Bin VBF,Bin 1,Bin 1 [110-155],VBF & Bin 1 overlap,Bin 2,Bin 2 [110-155],Bin 3,Bin 3 [110-155]
data,36562582.0000,35321223.0000,2049200.0000,1420782.0000,3.0000,23.0000,19.0000,4.0000,0.0000,137.0000,45.0000,1313.0000,415.0000
hh4b,23.3227,22.3932,9.6791,9.6306,0.3179,0.4029,1.0609,0.9012,0.0002,1.1437,0.9172,0.7854,0.6221
hh4b-kl0,32.9015,31.2692,12.7091,12.6259,0.3895,0.4918,1.3104,1.1095,0.0007,1.4798,1.1807,0.9720,0.7896
hh4b-kl2p45,17.6846,17.1572,7.3904,7.3147,0.2618,0.3258,0.8279,0.7041,-0.0001,0.8598,0.6913,0.5969,0.4785
hh4b-kl5,30.2619,28.4305,8.4620,8.1332,0.2113,0.2642,0.6311,0.5373,0.0002,0.6533,0.5215,0.4610,0.3638
vbfhh4b,0.6926,0.6719,0.1964,0.1904,0.0217,0.0276,0.0208,0.0175,0.0000,0.0092,0.0073,0.0118,0.0094
vbfhh4b-k2v0,144.8947,151.3889,95.6347,94.9304,20.1911,25.4247,20.3248,17.1173,0.0815,3.1019,2.4618,5.1351,4.0689
vbfhh4b-kv1p74-k2v1p37-kl14p4,265.0652,265.7320,128.0965,124.2027,27.0937,34.4928,26.2234,21.9146,0.1554,2.1161,1.6496,5.1413,4.0597
vbfhh4b-kvm0p012-k2v0p03-kl10p2,0.0879,0.0927,0.0626,0.0621,0.0141,0.0179,0.0139,0.0118,0.0000,0.0016,0.0013,0.0032,0.0024
vbfhh4b-kvm0p758-k2v1p44-klm19p3,346.5328,348.4868,162.5377,159.9970,27.9211,35.2818,30.6124,26.1384,0.1131,6.9455,5.4925,8.9191,7.0907
vbfhh4b-kvm0p962-k2v0p959-klm1p43,0.7020,0.6767,0.1847,0.1751,0.0186,0.0234,0.0243,0.0200,0.0000,0.0061,0.0048,0.0064,0.0050
vbfhh4b-kvm1p21-k2v1p94-klm0p94,24.7931,26.0286,17.0093,16.8792,3.6775,4.6299,3.7910,3.1891,0.0141,0.5033,0.3950,0.8236,0.6525
vbfhh4b-kvm1p6-k2v2p72-klm1p36,4.1399,4.0872,1.5277,1.4945,0.2342,0.2958,0.2576,0.2174,0.0008,0.0418,0.0340,0.0606,0.0475
vbfhh4b-kvm1p83-k2v3p57-klm3p39,18.5381,18.2328,6.7288,6.5183,0.9942,1.2730,1.1693,0.9841,0.0033,0.2458,0.1965,0.2797,0.2226
vbfhh4b-kvm2p12-k2v3p87-klm5p96,399.9524,398.6649,171.6737,169.0559,27.8073,35.1238,28.5032,24.2955,0.0582,8.5110,6.6842,10.4431,8.2439
ttbar,708128.0048,600255.8839,157899.7836,130641.0864,1.0032,4.4228,2.4992,0.9107,0.0000,16.4399,7.0651,378.8319,131.8228
gghtobb,3501.4332,3039.2699,629.3217,606.5485,0.1130,0.3117,0.2732,0.0942,0.0000,0.7671,0.2509,1.2707,0.6123
vbfhtobb,857.1276,778.8942,84.8687,79.7723,0.0065,0.0395,0.0226,0.0000,0.0000,0.0289,0.0000,0.0392,0.0249
vhtobb,871.2843,780.6232,373.7090,365.8604,0.2924,1.2307,3.0305,0.5013,0.0078,3.6519,1.0283,9.9988,6.7682
novhhtobb,3949.6678,3600.4719,702.8034,676.9583,0.1227,0.3528,0.3064,0.1046,0.0000,0.8689,0.2719,1.3241,0.6481
tthtobb,1236.8256,1136.0952,415.9427,376.8591,0.1571,0.3935,0.3406,0.1552,0.0000,1.2257,0.5211,2.6108,1.1092
zz,1656.6947,1624.6510,341.7202,298.9530,0.1124,0.5198,0.5441,0.0566,0.0000,1.5077,0.0000,12.4878,0.5987
nozzdiboson,8731.3572,9355.6870,988.1688,740.2973,0.0000,0.0980,0.0000,0.0000,0.0000,0.0000,0.0000,1.3991,0.2597
vjets,961507.4012,962296.0836,44243.6262,34053.5247,0.0924,1.5149,0.2323,0.1922,0.0000,3.5717,0.7734,47.1386,9.1394
B ABCD,,,,,0.8882,,,4.727,,,,,
S/B ABCD,,,,,,,,0.188,,,,,
