,Skimmer Preselection,HLT,550 ≤ bbFatJetPt0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.1 ≤ bbFatJetParTTXbb0 < 0.9
data,6287466.0,6287466.0,1906555.0,1005881.0,355440.0
ttbar,65282.94,65282.94,18218.63,6381.04,4605.56
qcd,4381637.28,4381637.28,1447504.78,770543.98,304423.98
hbb,431.59,431.59,126.08,108.96,44.75
Zto2Q,45814.95,45814.95,15329.3,9976.93,4035.6
Wto2Q,64020.52,64020.52,23905.83,16220.56,5293.52
Zto2Q_BB,14719.31,14719.31,4896.14,3543.84,1598.44
Zto2Q_CC,7187.7,7187.7,2478.96,1991.21,944.48
Zto2Q_QQ,4486.37,4486.37,1934.14,1542.39,345.94
Zto2Q_unmatched,19421.57,19421.57,6020.06,2899.5,1146.75
