,Skimmer Preselection,HLT,550 ≤ bbFatJetPt_JER_up0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.1 ≤ bbFatJetParTTXbb0 < 0.9
data,6287466.0,6287466.0,1906555.0,1005881.0,355440.0
ttbar,65282.94,65282.94,18230.77,6385.84,4609.89
qcd,4381637.28,4381637.28,1447504.78,770543.98,304423.98
hbb,431.59,431.59,126.1,108.98,44.69
Zto2Q,45814.95,45814.95,15333.31,9980.01,4036.18
Wto2Q,64020.52,64020.52,23915.84,16228.49,5288.63
Zto2Q_BB,14719.31,14719.31,4897.42,3544.96,1599.66
Zto2Q_CC,7187.7,7187.7,2480.01,1992.16,944.71
Zto2Q_QQ,4486.37,4486.37,1935.93,1544.05,345.77
Zto2Q_unmatched,19421.57,19421.57,6019.96,2898.85,1146.03
