,Skimmer Preselection,HLT,550 ≤ bbFatJetPt_JES_down0 < 10000,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.1 ≤ bbFatJetParTTXbb0 < 0.9
data,6287466.0,6287466.0,1906555.0,1005881.0,355440.0
ttbar,65282.94,65282.94,17745.5,6186.9,4466.07
qcd,4381637.28,4381637.28,1447504.78,770543.98,304423.98
hbb,431.59,431.59,121.66,105.2,43.23
Zto2Q,45814.95,45814.95,14853.3,9639.83,3889.36
Wto2Q,64020.52,64020.52,23160.09,15706.02,5142.03
Zto2Q_BB,14719.31,14719.31,4737.67,3415.75,1531.04
Zto2Q_CC,7187.7,7187.7,2398.89,1922.44,913.34
Zto2Q_QQ,4486.37,4486.37,1882.52,1500.47,336.91
Zto2Q_unmatched,19421.57,19421.57,5834.22,2801.18,1108.08
