,Skimmer Preselection,HLT,450 ≤ bbFatJetPt0 < 550,50.0 ≤ bbFatJetParTmassVis_JMR_down0 < 150.0,0.95 ≤ bbFatJetParTTXbb0 < 0.975
data,6287466.0,5861759.0,2229933.0,1331150.0,5549.0
ttbar,65282.94,55303.46,18773.94,9070.09,27.13
qcd,4381637.28,4137336.5,1599270.9,960998.98,4903.69
hbb,431.59,383.34,166.1,144.6,17.6
Zto2Q,45814.95,42134.15,14752.45,10879.55,467.85
Wto2Q,64020.52,60301.95,20778.81,14824.55,33.51
Zto2Q_BB,14719.31,13170.37,4678.85,3963.58,433.98
Zto2Q_CC,7187.7,6573.96,2404.53,2132.76,18.26
Zto2Q_QQ,4486.37,4302.82,1471.93,1269.77,0.54
Zto2Q_unmatched,19421.57,18087.0,6197.14,3513.43,15.07
