,Skimmer Preselection,HLT,350 ≤ bbFatJetPt_JER_up0 < 450,50.0 ≤ bbFatJetParTmassVis0 < 150.0,0.975 ≤ bbFatJetParTTXbb0 < 0.99
data,6287466.0,6287466.0,1083184.0,708572.0,1507.0
ttbar,65282.94,65282.94,11872.42,7998.63,10.31
qcd,4381637.28,4381637.28,699309.5,454503.77,1073.06
hbb,431.59,431.59,71.31,62.51,6.2
Zto2Q,45814.95,45814.95,7464.72,5926.19,225.0
Wto2Q,64020.52,64020.52,9673.27,7310.71,8.1
Zto2Q_BB,14719.31,14719.31,2342.27,2188.08,217.4
Zto2Q_CC,7187.7,7187.7,1105.57,1047.85,3.33
Zto2Q_QQ,4486.37,4486.37,589.79,547.06,0.06
Zto2Q_unmatched,19421.57,19421.57,3427.09,2143.19,4.2
