,Skimmer Preselection,HLT,350 ≤ bbFatJetPt0 < 450,50.0 ≤ bbFatJetParTmassVis_JMS_down0 < 150.0,0.99 ≤ bbFatJetParTTXbb0 < 1.0
data,4599180.0,4377324.0,791824.0,529245.0,545.0
ttbar,46570.79,41826.95,8326.17,6034.15,1.36
qcd,3307620.01,3183091.09,493098.47,323598.95,278.02
hbb,340.06,299.06,49.15,44.56,3.24
Zto2Q,33275.62,31027.73,5067.4,4069.19,159.72
Wto2Q,47182.68,45512.63,6701.26,5117.85,0.0
Zto2Q_BB,11146.23,9918.65,1630.29,1542.75,158.05
Zto2Q_CC,5272.89,4919.67,752.49,720.27,0.71
Zto2Q_QQ,3179.56,3089.75,376.17,351.35,0.07
Zto2Q_unmatched,13676.94,13099.66,2308.45,1454.82,0.89
