#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
356426:8067,07/29/22 13:50:08,22,22,0.003115110,0.002569638
356428:8067,07/29/22 14:11:32,299,299,0.047586700,0.045658471
356433:8067,07/29/22 17:20:28,305,305,0.048851798,0.047036208
356434:8067,07/29/22 19:22:54,13,13,0.001950284,0.001716761
356435:8067,07/29/22 19:31:01,4,4,0.000596088,0.000438619
356446:8068,07/29/22 22:05:30,611,611,0.095558165,0.092645724
356523:8076,07/31/22 18:51:42,866,866,0.164037216,0.160945096
356531:8076,08/01/22 02:10:15,56,56,0.009119290,0.008972442
356563:8078,08/01/22 14:49:18,290,290,0.052128304,0.051076869
356568:8079,08/01/22 18:52:46,20,20,0.003411277,0.003199444
356569:8079,08/01/22 19:05:00,248,248,0.046474620,0.045312651
356570:8079,08/01/22 20:47:20,98,98,0.019518265,0.019096323
356576:8081,08/02/22 05:11:08,181,181,0.026779137,0.026012516
356578:8081,08/02/22 06:39:29,859,859,0.156373543,0.153690638
356580:8081,08/02/22 12:21:24,50,50,0.007879274,0.007737180
356582:8081,08/02/22 13:25:57,98,98,0.014402745,0.014267000
356614:8083,08/02/22 18:26:15,50,50,0.009273549,0.007887264
356615:8083,08/02/22 18:53:13,1294,1294,0.235157789,0.231009012
356619:8083,08/03/22 03:31:02,173,173,0.024261009,0.023994573
356810:8094,08/05/22 02:20:11,119,119,0.025869817,0.025228636
356811:8094,08/05/22 03:13:06,44,44,0.013371370,0.012876829
356812:8094,08/05/22 03:35:55,107,107,0.031002957,0.030017322
356813:8094,08/05/22 04:22:46,54,54,0.015021088,0.014540907
356814:8094,08/05/22 04:48:52,667,667,0.158740721,0.155898775
356815:8094,08/05/22 09:13:01,98,98,0.019544335,0.019132267
356824:8094,08/05/22 10:39:04,62,62,0.009670484,0.009476723
356908:8098,08/06/22 01:30:07,26,26,0.007645126,0.007133667
356919:8099,08/06/22 03:56:45,87,87,0.021650796,0.020862406
356937:8100,08/06/22 14:02:16,117,117,0.029182904,0.027863445
356946:8102,08/06/22 19:52:44,121,121,0.036294837,0.034494079
356947:8102,08/06/22 20:46:12,345,345,0.093513130,0.090602295
356948:8102,08/06/22 23:03:58,85,85,0.020836186,0.019945891
356949:8102,08/06/22 23:40:25,94,94,0.022015867,0.021383048
356951:8102,08/07/22 00:29:25,274,274,0.059984738,0.058733073
356954:8102,08/07/22 02:28:59,359,359,0.069321290,0.067964381
356955:8102,08/07/22 04:51:58,380,380,0.064559043,0.063311520
356956:8102,08/07/22 07:20:44,109,109,0.015088549,0.014964203
356968:8103,08/07/22 11:00:07,172,172,0.049077897,0.047170284
356969:8103,08/07/22 12:14:36,233,233,0.068838066,0.066250781
356970:8103,08/07/22 13:48:42,361,361,0.096199910,0.093897742
356998:8106,08/08/22 06:36:19,5,5,0.001659953,0.001565210
356999:8106,08/08/22 06:44:07,53,53,0.017116688,0.016458719
357000:8106,08/08/22 07:08:08,48,48,0.011401538,0.010917801
357001:8106,08/08/22 07:29:31,183,183,0.052590117,0.050873486
357079:8112,08/09/22 04:42:08,20,20,0.007683358,0.007046016
357080:8112,08/09/22 04:52:58,595,595,0.191007745,0.184364518
357081:8112,08/09/22 09:12:46,758,758,0.179961755,0.176290826
357101:8113,08/09/22 18:11:31,48,48,0.017276162,0.016450046
357102:8113,08/09/22 18:48:55,103,103,0.035602575,0.034028839
357104:8113,08/09/22 19:59:35,4,4,0.001309937,0.001251199
357106:8113,08/09/22 20:26:05,57,57,0.017869781,0.016713526
357112:8113,08/09/22 21:05:03,519,519,0.140533868,0.134186514
357268:8115,08/10/22 19:34:00,73,73,0.022928021,0.021037666
357271:8115,08/10/22 20:10:57,1563,1563,0.445472488,0.414820290
357328:8118,08/11/22 19:45:57,60,60,0.017976114,0.016387207
357329:8118,08/11/22 20:13:21,658,658,0.228377356,0.214064059
357330:8118,08/12/22 00:34:27,156,156,0.046027944,0.042451168
357331:8118,08/12/22 01:38:29,23,23,0.006488921,0.005561528
357332:8118,08/12/22 01:50:29,428,428,0.109845359,0.097896931
357333:8118,08/12/22 04:41:18,207,207,0.044838850,0.043020697
357401:8120,08/12/22 18:57:25,616,616,0.171672295,0.167052160
