#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
369927:9016,07/01/23 12:26:50,340,340,0.003269543,0.003221414
369943:9017,07/01/23 19:31:57,372,372,0.029055148,0.028405116
369956:9019,07/02/23 03:24:03,1030,1030,0.089922030,0.087710014
369978:9022,07/02/23 16:21:51,772,772,0.170891831,0.164495766
369998:9023,07/03/23 00:31:01,178,178,0.059400115,0.055217950
369999:9023,07/03/23 01:42:38,41,41,0.016304278,0.014803331
370093:9029,07/03/23 23:52:21,440,440,0.154947847,0.148003658
370097:9029,07/04/23 05:14:28,354,354,0.135944456,0.129227888
370102:9029,07/04/23 07:48:17,762,762,0.212587141,0.205006851
370129:9031,07/04/23 16:57:20,510,510,0.215042496,0.205785124
370144:9031,07/04/23 21:36:05,1292,1292,0.394273432,0.380083153
370169:9035,07/05/23 11:04:40,1309,1309,0.532116816,0.497334820
370172:9035,07/05/23 21:07:28,300,300,0.080313009,0.075691765
370175:9036,07/06/23 01:38:22,1684,1684,0.715033230,0.682447140
370293:9043,07/07/23 11:09:51,1552,1552,0.671842560,0.641184914
370294:9043,07/07/23 21:26:42,664,664,0.181616531,0.175059253
370300:9044,07/08/23 04:08:22,918,918,0.423527377,0.403757404
370304:9044,07/08/23 10:50:38,318,318,0.123393367,0.118143019
370307:9044,07/08/23 13:04:05,705,705,0.210449953,0.203080993
370321:9045,07/08/23 19:41:08,14,14,0.001884129,0.001703717
370332:9045,07/08/23 20:20:38,1909,1909,0.729709687,0.694959904
370340:9046,07/09/23 10:57:13,730,730,0.342016885,0.323649950
370354:9049,07/09/23 19:08:47,272,272,0.115151282,0.110608792
370357:9049,07/09/23 22:29:47,770,770,0.323073544,0.310057025
370406:9050,07/10/23 12:29:29,813,813,0.367235744,0.349363533
370436:9050,07/10/23 17:55:30,27,27,0.011444710,0.010621973
370460:9055,07/11/23 03:20:19,96,96,0.031139690,0.029880728
370472:9056,07/11/23 07:22:18,42,42,0.009908433,0.009771442
370497:9057,07/11/23 09:38:34,1418,1418,0.602784058,0.574569835
370522:9059,07/11/23 23:55:53,322,322,0.140253050,0.133665494
370560:9062,07/12/23 12:37:34,344,344,0.151239432,0.144704597
370579:9063,07/12/23 17:39:39,85,85,0.025707279,0.024655762
370580:9063,07/12/23 18:17:16,2824,2824,0.946716575,0.905717105
370667:9066,07/14/23 08:12:11,96,96,0.038770109,0.036464837
370717:9067,07/15/23 01:10:34,119,119,0.038234667,0.036525276
370725:9068,07/15/23 05:14:17,391,391,0.175181808,0.165649137
370749:9070,07/15/23 17:21:13,1442,1442,0.638629401,0.608475058
370753:9070,07/16/23 03:18:43,249,249,0.077767345,0.075000828
370772:9072,07/16/23 07:59:39,1209,1209,0.567726445,0.539773521
370774:9072,07/16/23 16:07:34,139,139,0.053429923,0.049144441
370775:9072,07/16/23 17:11:41,168,168,0.058824514,0.054542551
370776:9072,07/16/23 18:19:32,322,322,0.098981429,0.095190087
370790:9073,07/16/23 22:51:10,23,23,0.003441682,0.003039347
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#27,43,27365,27365,9.969182979,9.506394514
#Check JSON:
#(run,ls) in json but not in results: []
