#Data tag : 24v2 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
367095:8728,05/06/23 11:29:02,564,564,0.116883247,0.110171875
367100:8729,05/06/23 18:09:21,344,344,0.069286440,0.065526260
367102:8729,05/06/23 20:28:48,75,75,0.016405628,0.015187518
367103:8729,05/06/23 21:02:02,64,64,0.014067565,0.012882764
367104:8729,05/06/23 21:31:30,1082,1082,0.192232382,0.184289842
367111:8730,05/07/23 07:24:47,286,286,0.055671959,0.051887680
367112:8730,05/07/23 09:19:36,1438,1438,0.256673563,0.245232204
367127:8731,05/07/23 20:42:33,331,331,0.099053289,0.092910705
367128:8731,05/07/23 22:54:20,7,7,0.002420475,0.002159831
367129:8731,05/07/23 23:01:54,3,3,0.001019311,0.000975457
367130:8731,05/07/23 23:05:47,153,153,0.043362510,0.041028318
367131:8731,05/08/23 00:12:34,148,148,0.039464588,0.038008307
367133:8731,05/08/23 01:12:46,275,275,0.083468828,0.080092046
367228:8736,05/08/23 21:46:35,239,239,0.058405420,0.054915347
367229:8736,05/08/23 23:25:47,34,34,0.011648891,0.010897560
367230:8736,05/08/23 23:44:57,1,1,0.000335977,0.000301488
367231:8736,05/08/23 23:48:31,22,22,0.007541358,0.006913092
367232:8736,05/08/23 23:59:29,992,992,0.322518299,0.309857849
367234:8736,05/09/23 06:33:08,501,501,0.130322670,0.125751165
367260:8738,05/09/23 16:06:48,187,187,0.052330358,0.049707530
367262:8738,05/09/23 17:32:02,262,262,0.089593040,0.083492649
367263:8738,05/09/23 19:23:59,12,12,0.004056192,0.003420834
367264:8738,05/09/23 19:31:14,847,847,0.229657019,0.218953398
367267:8739,05/10/23 03:37:29,278,278,0.066242897,0.061926286
367269:8739,05/10/23 05:33:29,32,32,0.010892294,0.009490568
367270:8739,05/10/23 05:48:56,960,960,0.287792706,0.273164889
367271:8739,05/10/23 12:08:10,135,135,0.030576981,0.029340572
367312:8741,05/10/23 19:23:55,216,216,0.045472716,0.042630219
367314:8741,05/10/23 20:55:00,20,20,0.006857539,0.006277161
367315:8741,05/10/23 21:11:42,893,893,0.258553731,0.247460493
367334:8746,05/11/23 09:40:36,299,299,0.092205872,0.084799796
367336:8746,05/11/23 11:40:58,169,169,0.066415947,0.063212319
367337:8746,05/11/23 12:49:42,1046,1046,0.298584935,0.287434662
367355:8750,05/12/23 01:30:34,4,4,0.000945487,0.000812009
367406:8754,05/12/23 14:38:10,429,429,0.160749159,0.151138078
367413:8754,05/12/23 18:13:16,1293,1293,0.428402835,0.404715350
367415:8754,05/13/23 02:52:02,97,97,0.022721464,0.021993696
367416:8754,05/13/23 03:40:55,55,55,0.012354221,0.011794202
367475:8771,05/14/23 10:33:10,575,575,0.237537095,0.219244372
367477:8771,05/14/23 14:23:22,1289,1289,0.406144047,0.390471277
367515:8773,05/15/23 05:38:07,625,625,0.250628410,0.232532320
367516:8773,05/15/23 09:48:44,1235,1235,0.433628295,0.410243723
367552:8775,05/15/23 22:21:36,10,10,0.001100123,0.000882742
367553:8775,05/15/23 22:27:38,644,644,0.273802199,0.259564737
367554:8775,05/16/23 02:39:53,312,312,0.129329921,0.122434114
367615:8782,05/17/23 02:49:11,432,432,0.171091610,0.162169953
367618:8782,05/17/23 06:11:09,324,324,0.140538976,0.133567635
367619:8782,05/17/23 08:19:47,577,577,0.188631859,0.181886391
367661:8784,05/17/23 22:24:43,317,317,0.117523755,0.109701677
367662:8784,05/18/23 00:29:53,18,18,0.008164312,0.007335237
367663:8784,05/18/23 00:38:47,1,1,0.000445294,0.000407231
367665:8784,05/18/23 00:51:18,271,271,0.122765309,0.113724192
367666:8784,05/18/23 02:39:54,82,82,0.037119682,0.033943965
367691:8786,05/18/23 12:45:43,156,156,0.048550087,0.044403844
367696:8786,05/18/23 14:31:37,1912,1912,0.674678725,0.642045154
367699:8786,05/19/23 03:14:55,151,151,0.030245052,0.029479373
367730:8794,05/19/23 17:40:18,515,515,0.205952306,0.192153697
367742:8796,05/20/23 03:16:41,405,405,0.162039751,0.154596164
367758:8804,05/21/23 03:47:38,716,716,0.293180841,0.278638549
367770:8807,05/21/23 14:39:40,152,152,0.047932117,0.044758817
367771:8807,05/21/23 15:40:13,91,91,0.043710191,0.040964021
367772:8807,05/21/23 16:17:11,6,6,0.002819064,0.002200860
367790:8811,05/22/23 02:56:12,160,160,0.053790932,0.050126219
367831:8816,05/22/23 17:58:40,452,452,0.196011598,0.185670105
